Country or Area,Male Net enrolment ratio in primary education (NER),Female Net enrolment ratio in primary education (NER),Total Net enrolment ratio in primary education (NER)
Afghanistan,93,91,89
Albania,80,80,100
Algeria,98,96,92
Andorra,78,79,91
Angola,93,78,98
Angola,93.5,92.5,95.625
Antigua and Barbuda,91,84,61
Argentina,96,95,66
Armenia,92,87,94
Australia,97,98,96
Austria,95,95,96
Azerbaijan,85,84,100
Bahrain,92,87,94
Bangladesh,93,91,89
Belgium,99,99,99
Bhutan,88,91,96
Bolivia (Plurinational State of),96,95,66
Bosnia and Herzegovina,91.72727272727273,90.0909090909091,89.27272727272727
Bosnia and Herzegovina,86,88,45
Botswana,87,88,98
Brazil,96,95,66
Brunei Darussalam,96,96,99
Bulgaria,99,100,93
Burkina Faso,61,56,96
Burundi,78,74,99
Cambodia,96,95,86
Canada,100.0,99.0,93.0
Cape Verde,95,92,98
Central African Republic,81,61,95
Chad,69,64,67
Chile,94,94,56
China,96.25,96.5,96.0
China,100,100,35
Colombia,92,91,96
Comoros,78,74,99
Congo,92,89,82
Cook Islands,98,99,99
Costa Rica,96,95,66
Costa Rica,94.16666666666667,94.5,94.5
Croatia,95,97,99
Cuba,100,100,69
Cyprus,99,99,100
Czech Republic,95,95,96
Côte d'Ivoire,67,56,98
Democratic People's Republic of Korea,96,96,99
Democratic Republic of the Congo,69,64,67
Denmark,95,97,100
Djibouti,47,42,84
Dominican Republic,96,90,97
Ecuador,92.18181818181819,89.36363636363636,90.36363636363636
El Salvador,95,95,75
Equatorial Guinea,57,56,84
Eritrea,37,33,96
Estonia,96,96,98
Ethiopia,85,80,99
Fiji,99,99,98
Fiji,81.0,79.0,88.0909090909091
Finland,98,98,99
France,99,99,100
Gabon,69,64,67
Gambia,68,70,97
Germany,79.71428571428571,76.71428571428571,96.14285714285714
Ghana,84,85,99
Greece,95,95,96
Greece,91.72727272727273,90.0909090909091,89.27272727272727
Grenada,96,99,82
Guatemala,94.16666666666667,94.5,94.5
Guatemala,100,98,100
Guinea,83,70,91
Guinea-Bissau,77,73,100
Guyana,82,86,84
Haiti,96,95,66
Honduras,95,97,98
Hungary,98,98,95
Iceland,99,100,97
India,99,98,95
Iran (Islamic Republic of),93,91,89
Iraq,92,87,94
Ireland,99,100,96
Israel,97,97,80
Italy,100,99,93
Jamaica,90.33333333333333,90.41666666666667,94.91666666666667
Jamaica,83,81,74
Jordan,91,91,99
Kenya,84,85,96
Kiribati,82,78,99
Kuwait,97,100,97
Kyrgyzstan,90.75,91.0,96.25
Kyrgyzstan,95,95,97
Lao People's Democratic Republic,98,95,97
Latvia,90.55555555555556,89.22222222222223,88.55555555555556
Latvia,95,97,94
Lebanon,94,93,74
Lesotho,72,75,93
Liberia,69,64,67
Libya,92,87,94
Liechtenstein,100,98,100
Liechtenstein,79.71428571428571,76.71428571428571,96.14285714285714
Lithuania,96,96,90
Luxembourg,96,98,99
Madagascar,78,74,99
Malaysia,96,96,99
Maldives,97,97,83
Mali,71,61,94
Malta,93,94,92
Mauritania,73,76,86
Mauritius,92,94,100
Mexico,99,100,99
Monaco,95,95,96
Mongolia,100,99,58
Morocco,95,93,58
Mozambique,95,89,99
Myanmar,82,78,99
Namibia,84,89,98
Nauru,96,96,99
Nepal,93,91,89
New Zealand,99,100,74
Nicaragua,93,95,99
Niger,64,52,86
Nigeria,60,55,98
Norway,99,99,89
Oman,100,97,96
Pakistan,81,67,99
Panama,99,98,96
Papua New Guinea,96,96,99
Paraguay,86,86,99
Peru,98,98,90
Philippines,88,90,88
Poland,96,96,96
Portugal,99,100,99
Qatar,96,97,86
Republic of Korea,99,98,90
Republic of Moldova,90,90,98
Romania,88,87,95
Russian Federation,95,96,92
Russian Federation,84.5,82.875,88.625
Saint Kitts and Nevis,86,86,99
Saint Lucia,90,89,90
Samoa,93,97,78
San Marino,91,93,95
Saudi Arabia,90,89,97
Saudi Arabia,91.875,91.1875,84.25
Senegal,76,80,90
Serbia,95,94,92
Seychelles,78,74,99
Sierra Leone,88.35714285714286,84.92857142857143,92.21428571428571
Sierra Leone,69,64,67
Singapore,96,96,99
Slovakia,95,95,96
Slovakia,84.5,82.875,88.625
Slovenia,97,97,100
Solomon Islands,82,78,99
Solomon Islands,81.0,79.0,88.0909090909091
Somalia,78,74,99
Somalia,90.70588235294117,89.17647058823529,91.47058823529412
South Africa,93.0,92.75,87.5
South Africa,90,91,94
South Sudan,78,74,99
Spain,100,100,76
Spain,91.72727272727273,90.0909090909091,89.27272727272727
Sri Lanka,94,94,91
State of Palestine,90,88,86
Sudan,82,78,99
Suriname,91,91,99
Swaziland,86,85,99
Sweden,100,99,98
Switzerland,99,99,90
Syrian Arab Republic,100,98,98
Syrian Arab Republic,91.875,91.1875,84.25
Tajikistan,99,96,86
Thailand,90,89,94
The former Yugoslav Republic of Macedonia,97,99,97
Timor-Leste,86,86,99
Togo,88.35714285714286,84.92857142857143,92.21428571428571
Tonga,96,96,99
Trinidad and Tobago,98,97,97
Tunisia,92.4,92.0,90.2
Turkey,98,97,91
Turkmenistan,95,95,96
Tuvalu,82,78,99
Uganda,90,92,91
Ukraine,91,91,100
United Arab Emirates,92,87,94
United Kingdom,100,100,98
United Republic of Tanzania,98,98,96
United States,95,96,99
Uruguay,100,99,92
Uzbekistan,93,91,95
Vanuatu,82,78,99
Venezuela (Bolivarian Republic of),95,95,98
Yemen,86,70,78
Zambia,91,94,93
Zimbabwe,78,74,99
